"<seg id=""12"">","Seriously -- doomed, doomed!",gender,doomed = feminine,,
"<seg id=""13"">","Like, they come up to me now, all worried, and they say, ""Aren't you afraid you're never going to be able to top that?","reference
gender
gender","they = people
they = feminine
afraid = feminine",,
"<seg id=""14"">","Aren't you afraid you're going to keep writing for your whole life and you're never again going to create a book that anybody in the world cares about at all, ever again?""",gender,afraid = feminine,,
"<seg id=""15"">","So that's reassuring, you know.",X,X,,
"<seg id=""16"">","But it would be worse, except for that I happen to remember that over 20 years ago, when I was a teenager, when I first started telling people that I wanted to be a writer, I was met with this same sort of fear-based reaction.","gender
gender
gender","a teenarger = feminine
writer = feminine
I was met = feminine",,
"<seg id=""17"">","And people would say, ""Aren't you afraid you're never going to have any success?",gender,afraid = feminine,,
"<seg id=""18"">",Aren't you afraid the humiliation of rejection will kill you?,"gender
gender","afraid = feminine
you = feminine",,
"<seg id=""19"">","Aren't you afraid that you're going to work your whole life at this craft and nothing's ever going to come of it and you're going to die on a scrap heap of broken dreams with your mouth filled with bitter ash of failure?""",gender,afraid = feminine,,
"<seg id=""20"">","Like that, you know.",X,X,,
"<seg id=""21"">","The answer -- the short answer to all those questions is, ""Yes.""",X,X,,
"<seg id=""22"">","Yes, I'm afraid of all those things.",gender,afraid = feminine,,
"<seg id=""23"">",And I always have been.,"ellipsis
lexical ambiguity","have been = afraid
have been = to be: inherent vs transitory",,
"<seg id=""24"">","And I'm afraid of many, many more things besides that people can't even guess at, like seaweed and other things that are scary.",gender,afraid = feminine,,
"<seg id=""25"">","But, when it comes to writing, the thing that I've been sort of thinking about lately, and wondering about lately, is why?",X,X,,
"<seg id=""26"">","You know, is it rational?",X,X,,
"<seg id=""27"">",Is it logical that anybody should be expected to be afraid of the work that they feel they were put on this Earth to do.,X,X,,
"<seg id=""28"">","And what is it specifically about creative ventures that seems to make us really nervous about each other's mental health in a way that other careers kind of don't do, you know?",X,X,,
"<seg id=""29"">","Like my dad, for example, was a chemical engineer and I don't recall once in his 40 years of chemical engineering anybody asking him if he was afraid to be a chemical engineer, you know?",X,X,,
"<seg id=""30"">","That chemical-engineering block, John, how's it going?",lexical ambiguity,block=mass of material vs obstruction,,
"<seg id=""31"">","It just didn't come up like that, you know?",lexical ambiguity,come up = arise vs happen,,
"<seg id=""32"">","But to be fair, chemical engineers as a group haven't really earned a reputation over the centuries for being alcoholic manic-depressives.",gender,fair=feminine,,
"<seg id=""33"">","We writers, we kind of do have that reputation, and not just writers, but creative people across all genres, it seems, have this reputation for being enormously mentally unstable.",X,X,,
"<seg id=""34"">","And all you have to do is look at the very grim death count in the 20th century alone, of really magnificent creative minds who died young and often at their own hands, you know?",X,X,,
"<seg id=""35"">","And even the ones who didn't literally commit suicide seem to be really undone by their gifts, you know.",X,X,,
"<seg id=""36"">","Norman Mailer, just before he died, last interview, he said, ""Every one of my books has killed me a little more.""",X,X,,
"<seg id=""37"">",An extraordinary statement to make about your life's work.,X,X,,
"<seg id=""38"">","But we don't even blink when we hear somebody say this, because we've heard that kind of stuff for so long and somehow we've completely internalized and accepted collectively this notion that creativity and suffering are somehow inherently linked and that artistry, in the end, will always ultimately lead to anguish.",X,X,,
"<seg id=""39"">",And the question that I want to ask everybody here today is are you guys all cool with that idea?,lexical ambiguity,cool = cold / good vs agree,,
"<seg id=""40"">",Are you comfortable with that?,"number
number
reference
gender","you = plural
comfortable = plural
that= idea
that=feminine",,
"<seg id=""41"">","Because you look at it even from an inch away and, you know -- I'm not at all comfortable with that assumption.","reference
gender
gender","it= idea
it= feminine 
comfortable = feminine",,
"<seg id=""42"">",I think it's odious.,"reference
gender
gender","it = the assumption
it = feminine
odious = feminine",,
"<seg id=""43"">","And I also think it's dangerous, and I don't want to see it perpetuated into the next century.","reference
gender
reference
gender","it = assumption
dangerous = feminine
it = assumption
perpetuated = feminine",,
"<seg id=""44"">",I think it's better if we encourage our great creative minds to live.,X,X,,
"<seg id=""45"">","And I definitely know that, in my case -- in my situation -- it would be very dangerous for me to start sort of leaking down that dark path of assumption, particularly given the circumstance that I'm in right now in my career.",X,X,,
"<seg id=""46"">","Which is -- you know, like check it out, I'm pretty young, I'm only about 40 years old.",gender,young = feminine,,
"<seg id=""47"">",I still have maybe another four decades of work left in me.,X,X,,
"<seg id=""48"">","And it's exceedingly likely that anything I write from this point forward is going to be judged by the world as the work that came after the freakish success of my last book, right?",X,X,,
"<seg id=""49"">","I should just put it bluntly, because we're all sort of friends here now -- it's exceedingly likely that my greatest success is behind me.",X,X,,
"<seg id=""50"">","So Jesus, what a thought!",X,X,,
"<seg id=""51"">","That's the kind of thought that could lead a person to start drinking gin at nine o'clock in the morning, and I don't want to go there.",lexical ambiguity,go there = go physically to a place (there) vs do it,,
"<seg id=""52"">",I would prefer to keep doing this work that I love.,X,X,,
"<seg id=""53"">","And so, the question becomes, how?",X,X,,
"<seg id=""54"">","And so, it seems to me, upon a lot of reflection, that the way that I have to work now, in order to continue writing, is that I have to create some sort of protective psychological construct, right?",lexical ambiguity,Construct = construction vs frame,,
"<seg id=""55"">","I have to sort of find some way to have a safe distance between me, as I am writing, and my very natural anxiety about what the reaction to that writing is going to be, from now on.",X,X,,
"<seg id=""56"">","And, as I've been looking, over the last year, for models for how to do that, I've been sort of looking across time, and I've been trying to find other societies to see if they might have had better and saner ideas than we have about how to help creative people sort of manage the inherent emotional risks of creativity.",X,X,,
"<seg id=""57"">",And that search has led me to ancient Greece and ancient Rome.,X,X,,
"<seg id=""58"">","So stay with me, because it does circle around and back.",reference,it = search,,
"<seg id=""59"">","But, ancient Greece and ancient Rome -- people did not happen to believe that creativity came from human beings back then, OK?",X,X,,
"<seg id=""60"">","People believed that creativity was this divine attendant spirit that came to human beings from some distant and unknowable source, for distant and unknowable reasons.",X,X,,
"<seg id=""61"">","The Greeks famously called these divine attendant spirits of creativity ""daemons.""",X,X,,
"<seg id=""62"">","Socrates, famously, believed that he had a daemon who spoke wisdom to him from afar.",X,X,,
"<seg id=""63"">","The Romans had the same idea, but they called that sort of disembodied creative spirit a genius.",X,X,,
"<seg id=""64"">","Which is great, because the Romans did not actually think that a genius was a particularly clever individual.",X,X,,
"<seg id=""65"">","They believed that a genius was this, sort of magical divine entity, who was believed to literally live in the walls of an artist's studio, kind of like Dobby the house elf, and sort of invisibly assist the artist with their work and would shape the outcome of that work.",X,X,,
"<seg id=""66"">","So brilliant -- there it is, right there, that distance that I'm talking about -- that psychological construct to protect you from the results of your work.",X,X,,
"<seg id=""67"">","And everyone knew that this is how it functioned, right?",reference,it = the distance,,
"<seg id=""68"">","So the ancient artist was protected from certain things, like, for example, too much narcissism, right?",X,X,,
"<seg id=""69"">","If your work was brilliant, you couldn't take all the credit for it, everybody knew that you had this disembodied genius who had helped you.",X,X,,
"<seg id=""70"">","If your work bombed, not entirely your fault, you know?",lexical ambiguity,if your work bombed = to be bombed vs failed,,
"<seg id=""71"">",Everyone knew your genius was kind of lame.,X,X,,
"<seg id=""72"">",And this is how people thought about creativity in the West for a really long time.,X,X,,
"<seg id=""73"">","And then the Renaissance came and everything changed, and we had this big idea, and the big idea was, let's put the individual human being at the center of the universe above all gods and mysteries, and there's no more room for mystical creatures who take dictation from the divine.",X,X,,
"<seg id=""74"">","And it's the beginning of rational humanism, and people started to believe that creativity came completely from the self of the individual.",X,X,,
"<seg id=""75"">","And for the first time in history, you start to hear people referring to this or that artist as being a genius, rather than having a genius.",X,X,,
"<seg id=""76"">","And I got to tell you, I think that was a huge error.",number,you = plural,,
"<seg id=""77"">","You know, I think that allowing somebody, one mere person to believe that he or she is like, the vessel, you know, like the font and the essence and the source of all divine, creative, unknowable, eternal mystery is just a smidge too much responsibility to put on one fragile, human psyche.",x,x,,
"<seg id=""78"">",It's like asking somebody to swallow the sun.,X,X,,
"<seg id=""79"">","It just completely warps and distorts egos, and it creates all these unmanageable expectations about performance.",reference,it = regarding the change of humans as genius and not having a genius,,
"<seg id=""80"">",And I think the pressure of that has been killing off our artists for the last 500 years.,,,,
"<seg id=""81"">","And, if this is true, and I think it is true, the question becomes, what now?",reference,it = the pressure of that,,
"<seg id=""82"">",Can we do this differently?,X,X,,
"<seg id=""83"">",Maybe go back to some more ancient understanding about the relationship between humans and the creative mystery.,X,X,,
"<seg id=""84"">",Maybe not.,X,X,,
"<seg id=""85"">",Maybe we can't just erase 500 years of rational humanistic thought in one 18 minute speech.,X,X,,
"<seg id=""86"">","And there's probably people in this audience who would raise really legitimate scientific suspicions about the notion of, basically, fairies who follow people around rubbing fairy juice on their projects and stuff.",X,X,,
"<seg id=""87"">","I'm not, probably, going to bring you all along with me on this.",lexical ambiguity,bring along with me on this = translaport vs make you agree with me,,
"<seg id=""88"">","But the question that I kind of want to pose is -- you know, why not?",X,X,,
"<seg id=""89"">",Why not think about it this way?,reference,it = humans having a genius,,
"<seg id=""90"">",Because it makes as much sense as anything else I have ever heard in terms of explaining the utter maddening capriciousness of the creative process.,reference,it = humans having a genius,,
"<seg id=""91"">","A process which, as anybody who has ever tried to make something -- which is to say basically everyone here --- knows does not always behave rationally.",X,X,,
"<seg id=""92"">","And, in fact, can sometimes feel downright paranormal.",X,X,,
"<seg id=""93"">","I had this encounter recently where I met the extraordinary American poet Ruth Stone, who's now in her 90s, but she's been a poet her entire life and she told me that when she was growing up in rural Virginia, she would be out working in the fields, and she said she would feel and hear a poem coming at her from over the landscape.",X,X,,
"<seg id=""94"">",And she said it was like a thunderous train of air.,reference,it = the poem,,
"<seg id=""95"">",And it would come barreling down at her over the landscape.,reference,it = the poem,,
"<seg id=""96"">","And she felt it coming, because it would shake the earth under her feet.",reference,it = the poem,,
"<seg id=""97"">","She knew that she had only one thing to do at that point, and that was to, in her words, ""run like hell.""",X,X,,
"<seg id=""98"">","And she would run like hell to the house and she would be getting chased by this poem, and the whole deal was that she had to get to a piece of paper and a pencil fast enough so that when it thundered through her, she could collect it and grab it on the page.",x,x,,
"<seg id=""99"">","And other times she wouldn't be fast enough, so she'd be running and running, and she wouldn't get to the house and the poem would barrel through her and she would miss it and she said it would continue on across the landscape, looking, as she put it ""for another poet.""",X,X,,
"<seg id=""100"">","And then there were these times -- this is the piece I never forgot -- she said that there were moments where she would almost miss it, right?","lexial ambiguity
reference","miss= miss someone vs lost
it = the poem",,
"<seg id=""101"">","So, she's running to the house and she's looking for the paper and the poem passes through her, and she grabs a pencil just as it's going through her, and then she said, it was like she would reach out with her other hand and she would catch it.",reference,it = the poem,,
"<seg id=""102"">","She would catch the poem by its tail, and she would pull it backwards into her body as she was transcribing on the page.",X,X,,
"<seg id=""103"">","And in these instances, the poem would come up on the page perfect and intact but backwards, from the last word to the first.",X,X,,
"<seg id=""104"">","So when I heard that I was like -- that's uncanny, that's exactly what my creative process is like.",X,X,,
"<seg id=""105"">",That's not at all what my creative process is -- I'm not the pipeline!,lexical ambiguity,pipeline = aqueduct/oilduct vs channel,,
"<seg id=""106"">","I'm a mule, and the way that I have to work is I have to get up at the same time every day, and sweat and labor and barrel through it really awkwardly.",X,X,,
"<seg id=""107"">","But even I, in my mulishness, even I have brushed up against that thing, at times.",lexical ambiguity,brushed up against = polish up vs bump into,,
"<seg id=""108"">",And I would imagine that a lot of you have too.,X,X,,
"<seg id=""109"">","You know, even I have had work or ideas come through me from a source that I honestly cannot identify.",X,X,,
"<seg id=""110"">",And what is that thing?,X,X,,
"<seg id=""111"">","And how are we to relate to it in a way that will not make us lose our minds, but, in fact, might actually keep us sane?",X,X,,
"<seg id=""112"">","And for me, the best contemporary example that I have of how to do that is the musician Tom Waits, who I got to interview several years ago on a magazine assignment.",X,X,,
"<seg id=""113"">","And we were talking about this, and you know, Tom, for most of his life, he was pretty much the embodiment of the tormented contemporary modern artist, trying to control and manage and dominate these sort of uncontrollable creative impulses that were totally internalized.",X,X,,
"<seg id=""114"">","But then he got older, he got calmer, and one day he was driving down the freeway in Los Angeles, and this is when it all changed for him.",X,X,,
"<seg id=""115"">","And he's speeding along, and all of a sudden he hears this little fragment of melody, that comes into his head as inspiration often comes, elusive and tantalizing, and he wants it, it's gorgeous, and he longs for it, but he has no way to get it.",X,X,,
"<seg id=""116"">","He doesn't have a piece of paper, or a pencil, or a tape recorder.",X,X,,
"<seg id=""117"">","So he starts to feel all of that old anxiety start to rise in him like, ""I'm going to lose this thing, and I'll be be haunted by this song forever.",X,X,,
"<seg id=""118"">","I'm not good enough, and I can't do it.""",X,X,,
"<seg id=""119"">","And instead of panicking, he just stopped.",X,X,,
"<seg id=""120"">",He just stopped that whole mental process and he did something completely novel.,X,X,,
"<seg id=""123"">","He just looked up at the sky, and he said, ""Excuse me, can you not see that I'm driving?""",X,X,,
"<seg id=""121"">",Do I look like I can write down a song right now?,X,X,,
"<seg id=""122"">","If you really want to exist, come back at a more opportune moment when I can take care of you.",X,X,,
"<seg id=""124"">","Otherwise, go bother somebody else today.",X,X,,
"<seg id=""125"">",Go bother Leonard Cohen.,X,X,,
"<seg id=""126"">",And his whole work process changed after that.,X,X,,
"<seg id=""127"">","Not the work, the work was still oftentimes as dark as ever.",X,X,,
"<seg id=""128"">","But the process, and the heavy anxiety around it was released when he took the genie, the genius out of him where it was causing nothing but trouble, and released it back where it came from, and realized that this didn't have to be this internalized, tormented thing.",X,X,,
"<seg id=""129"">","It could be this peculiar, wondrous, bizarre collaboration, kind of conversation between Tom and the strange, external thing that was not quite Tom.",X,X,,
"<seg id=""130"">","When I heard that story, it started to shift a little bit the way that I worked too, and this idea already saved me once.",X,X,,
"<seg id=""131"">","It saved me when I was in the middle of writing ""Eat, Pray, Love,"" and I fell into one of those sort of pits of despair that we all fall into when we're working on something and it's not coming and you start to think this is going to be a disaster, the worst book ever written.",reference,it = this idea,,
"<seg id=""132"">","Not just bad, but the worst book ever written.",X,X,,
"<seg id=""133"">",And I started to think I should just dump this project.,X,X,,
"<seg id=""134"">",But then I remembered Tom talking to the open air and I tried it.,X,X,,
"<seg id=""135"">",So I just lifted my face up from the manuscript and I directed my comments to an empty corner of the room.,X,X,,
"<seg id=""136"">","And I said aloud, ""Listen you, thing, you and I both know that if this book isn't brilliant that is not entirely my fault, right?",X,X,,
"<seg id=""137"">","Because you can see that I am putting everything I have into this, I don't have any more than this.",X,X,,
"<seg id=""138"">","If you want it to be better, you've got to show up and do your part of the deal.",X,X,,
"<seg id=""139"">","But if you don't do that, you know what, the hell with it.",X,X,,
"<seg id=""140"">",I'm going to keep writing anyway because that's my job.,X,X,,
"<seg id=""141"">","And I would please like the record to reflect today that I showed up for my part of the job.""",lexical ambiguity,show up = appear vs do my part,,
"<seg id=""142"">","Because -- Because in the end it's like this, OK -- centuries ago in the deserts of North Africa, people used to gather for these moonlight dances of sacred dance and music that would go on for hours and hours, until dawn.",X,X,,
"<seg id=""143"">","They were always magnificent, because the dancers were professionals and they were terrific, right?",X,X,,
"<seg id=""144"">","But every once in a while, very rarely, something would happen, and one of these performers would actually become transcendent.",X,X,,
"<seg id=""145"">","And I know you know what I'm talking about, because I know you've all seen, at some point in your life, a performance like this.",X,X,,
"<seg id=""146"">","It was like time would stop, and the dancer would sort of step through some kind of portal and he wasn't doing anything different than he had ever done, 1,000 nights before, but everything would align.",X,X,,
"<seg id=""147"">","And all of a sudden, he would no longer appear to be merely human.",X,X,,
"<seg id=""148"">","He would be lit from within, and lit from below and all lit up on fire with divinity.",X,X,,
"<seg id=""149"">","And when this happened, back then, people knew it for what it was, you know, they called it by its name.",X,X,,
"<seg id=""150"">","They would put their hands together and they would start to chant, ""Allah, Allah, Allah, God, God, God.""",X,X,,
"<seg id=""151"">","That's God, you know.",X,X,,
"<seg id=""152"">","Curious historical footnote: when the Moors invaded southern Spain, they took this custom with them and the pronunciation changed over the centuries from ""Allah, Allah, Allah,"" to ""Olé, olé, olé,"" which you still hear in bullfights and in flamenco dances.",X,X,,
"<seg id=""153"">","In Spain, when a performer has done something impossible and magic, ""Allah, olé, olé, Allah, magnificent, bravo,"" incomprehensible, there it is -- a glimpse of God.",X,X,,
"<seg id=""154"">","Which is great, because we need that.",X,X,,
"<seg id=""155"">","But, the tricky bit comes the next morning, for the dancer himself, when he wakes up and discovers that it's Tuesday at 11 a.m., and he's no longer a glimpse of God.",X,X,,
"<seg id=""156"">","He's just an aging mortal with really bad knees, and maybe he's never going to ascend to that height again.",X,X,,
"<seg id=""157"">","And maybe nobody will ever chant God's name again as he spins, and what is he then to do with the rest of his life?",X,X,,
"<seg id=""158"">",This is hard.,X,X,,
"<seg id=""159"">",This is one of the most painful reconciliations to make in a creative life.,X,X,,
"<seg id=""160"">","But maybe it doesn't have to be quite so full of anguish if you never happened to believe, in the first place, that the most extraordinary aspects of your being came from you.",X,X,,
"<seg id=""161"">","But maybe if you just believed that they were on loan to you from some unimaginable source for some exquisite portion of your life to be passed along when you're finished, with somebody else.",reference,they = extraordinary aspects,,
"<seg id=""162"">","And, you know, if we think about it this way, it starts to change everything.",X,X,,
"<seg id=""163"">","This is how I've started to think, and this is certainly how I've been thinking in the last few months as I've been working on the book that will soon be published, as the dangerously, frighteningly over-anticipated follow up to my freakish success.",X,X,,
"<seg id=""164"">",And what I have to sort of keep telling myself when I get really psyched out about that is don't be afraid.,"gender
lexical ambiguity
gender
gender","myself = feminine
Psyched out= excited vs nervous
Psyched out= feminine
afraid=feminine",,
"<seg id=""165"">",Don't be daunted.,gender,daunted = feminine,,
"<seg id=""166"">",Just do your job.,X,X,,
"<seg id=""167"">","Continue to show up for your piece of it, whatever that might be.",reference,it = job,,
"<seg id=""168"">","If your job is to dance, do your dance.",X,X,,
"<seg id=""169"">","If the divine, cockeyed genius assigned to your case decides to let some sort of wonderment be glimpsed, for just one moment through your efforts, then ""Olé!""",lexical ambiguity,cockeyed = crooked vs idiotic,,
"<seg id=""170"">","And if not, do your dance anyhow.",X,X,,
"<seg id=""171"">","And ""Olé!"" to you, nonetheless.",X,X,,
"<seg id=""172"">",I believe this and I feel that we must teach it.,X,X,,
"<seg id=""173"">","Olé! to you, nonetheless, just for having the sheer human love and stubbornness to keep showing up.",X,X,,
"<seg id=""174"">",Thank you.,gender,thank you = feminine,,
"<seg id=""175"">",Thank you.,gender,thank you = feminine,,
"<seg id=""176"">",June Cohen: Olé!,X,X,,
</doc>,,,,,
,,,,,
,,,,,
<doc,"genre=""lectures"" docid=""227"" <url>http://www.ted.com/talks/craig_venter_is_on_the_verge_of_creating_synthetic_life</url>>",,,,
"<seg id=""1"">","""Can we create new life out of our digital universe?"" Craig Venter asks.",X,X,,
"<seg id=""2"">","His answer is ""yes"" -- and pretty soon.",X,X,,
"<seg id=""3"">",He walks through his latest research and promises that we'll soon be able to build and boot up a synthetic chromosome.,X,X,,
"<seg id=""4"">","talks, alternative energy, creativity, energy, genetics, global issues, invention, science, technology",X,X,,
"<seg id=""5"">",Craig Venter: On the verge of creating synthetic life,X,X,,
"<seg id=""6"">","You know, I've talked about some of these projects before -- about the human genome and what that might mean, and discovering new sets of genes.",X,X,,
"<seg id=""7"">","We're actually starting at a new point: we've been digitizing biology, and now we're trying to go from that digital code into a new phase of biology with designing and synthesizing life.",X,X,,
"<seg id=""8"">","So, we've always been trying to ask big questions.",X,X,,
"<seg id=""9"">",What is life? is something that I think many biologists have been trying to understand at various levels.,X,X,,
"<seg id=""10"">","We've tried various approaches, paring it down to minimal components.","reference
gender","it= life
paring it down = feminine",,
"<seg id=""11"">","We've been digitizing it now for almost 20 years; when we sequenced the human genome, it was going from the analog world of biology into the digital world of the computer.","reference
gender","it = life
digitazing it = feminine",,
"<seg id=""12"">","Now we're trying to ask, ""Can we regenerate life or can we create new life out of this digital universe?""",X,X,,
"<seg id=""13"">","This is the map of a small organism, Mycoplasma genitalium, that has the smallest genome for a species that can self-replicate in the laboratory, and we've been trying to just see if we can come up with an even smaller genome.",lexical ambiguity,Come up= turn up vs find out,,
"<seg id=""14"">",We're able to knock out on the order of 100 genes out of the 500 or so that are here.,X,X,,
"<seg id=""15"">","When we look at its metabolic map, it's relatively simple compared to ours -- trust me, this is simple -- but when we look at all the genes that we can knock out one at a time, it's very unlikely that this would yield a living cell.",reference,it= Mycoplasma genitalium,,
"<seg id=""16"">",So we decided the only way forward was to actually synthesize this chromosome so we could vary the components to ask some of these most fundamental questions.,X,X,,
"<seg id=""17"">",And so we started down the road of: can we synthesize a chromosome?,X,X,,
"<seg id=""18"">",Can chemistry permit making these really large molecules where we've never been before?,X,X,,
"<seg id=""19"">","And if we do, can we boot up a chromosome?",X,X,,
"<seg id=""20"">","A chromosome, by the way, is just a piece of inert chemical material.",X,X,,
"<seg id=""21"">","So, our pace of digitizing life has been increasing at an exponential pace.",X,X,,
"<seg id=""22"">","Our ability to write the genetic code has been moving pretty slowly but has been increasing, and our latest point would put it on, now, an exponential curve.",X,X,,
"<seg id=""23"">",We started this over 15 years ago.,X,X,,
"<seg id=""24"">","It took several stages, in fact, starting with a bioethical review before we did the first experiments.",X,X,,
"<seg id=""25"">",But it turns out synthesizing DNA is very difficult.,X,X,,
"<seg id=""26"">","There are tens of thousands of machines around the world that make small pieces of DNA -- 30 to 50 letters in length -- and it's a degenerate process, so the longer you make the piece, the more errors there are.",X,X,,
"<seg id=""27"">",So we had to create a new method for putting these little pieces together and correct all the errors.,X,X,,
"<seg id=""28"">","And this was our first attempt, starting with the digital information of the genome of phi X174.",X,X,,
"<seg id=""29"">",It's a small virus that kills bacteria.,X,X,,
"<seg id=""30"">","We designed the pieces, went through our error correction and had a DNA molecule of about 5,000 letters.",X,X,,
"<seg id=""31"">","The exciting phase came when we took this piece of inert chemical and put it in the bacteria, and the bacteria started to read this genetic code, made the viral particles.",X,X,,
"<seg id=""32"">",The viral particles then were released from the cells and came back and killed the E. coli.,X,X,,
"<seg id=""33"">",I was talking to the oil industry recently and I said they clearly understood that model.,X,X,,
"<seg id=""34"">",They laughed more than you guys are.,X,X,,
"<seg id=""35"">","And so, we think this is a situation where the software can actually build its own hardware in a biological system.",X,X,,
"<seg id=""36"">","But we wanted to go much larger: we wanted to build the entire bacterial chromosome -- it's over 580,000 letters of genetic code -- so we thought we'd build them in cassettes the size of the viruses so we could actually vary the cassettes to understand what the actual components of a living cell are.",Terminology,Cassestes= cassete tape vs mobile genetic element,,
"<seg id=""37"">","Design is critical, and if you're starting with digital information in the computer, that digital information has to be really accurate.",X,X,,
"<seg id=""38"">","When we first sequenced this genome in 1995, the standard of accuracy was one error per 10,000 base pairs.",X,X,,
"<seg id=""39"">","We actually found, on resequencing it, 30 errors; had we used that original sequence, it never would have been able to be booted up.",X,X,,
"<seg id=""40"">",Part of the design is designing pieces that are 50 letters long that have to overlap with all the other 50-letter pieces to build smaller subunits we have to design so they can go together.,X,X,,
"<seg id=""41"">",We design unique elements into this.,X,X,,
"<seg id=""42"">",You may have read that we put watermarks in.,number,you = plural,,
"<seg id=""43"">","Think of this: we have a four-letter genetic code -- A, C, G and T.",X,X,,
"<seg id=""44"">","Triplets of those letters code for roughly 20 amino acids, such that there's a single letter designation for each of the amino acids.",Terminology,Triplets= brothers vs trinucleotide,,
"<seg id=""45"">","So we can use the genetic code to write out words, sentences, thoughts.",X,X,,
"<seg id=""46"">","Initially, all we did was autograph it.",X,X,,
"<seg id=""47"">",Some people were disappointed there was not poetry.,X,X,,
"<seg id=""48"">",We designed these pieces so we can just chew back with enzymes.,X,X,,
"<seg id=""49"">",There are enzymes that repair them and put them together.,reference,them= pieces,,
"<seg id=""50"">","And we started making pieces, starting with pieces that were 5,000 to 7,000 letters, put those together to make 24,000-letter pieces, then put sets of those going up to 72,000.",lexical ambiguity,letters = postcard vs character,,
"<seg id=""51"">","At each stage, we grew up these pieces in abundance so we could sequence them because we're trying to create a process that's extremely robust that you can see in a minute.","number
number","you = plural
can = plural",,
"<seg id=""52"">",We're trying to get to the point of automation.,X,X,,
"<seg id=""53"">","So, this looks like a basketball playoff.",X,X,,
"<seg id=""54"">","When we get into these really large pieces over 100,000 base pairs, they won't any longer grow readily in E. coli -- it exhausts all the modern tools of molecular biology -- and so we turned to other mechanisms.",X,X,,
"<seg id=""55"">",We knew there's a mechanism called homologous recombination that biology uses to repair DNA that can put pieces together.,X,X,,
"<seg id=""56"">",Here's an example of it: there's an organism called Deinococcus radiodurans that can take three millions rads of radiation.,reference,it = a mechanism called homologous recombination,,
"<seg id=""57"">","You can see in the top panel, its chromosome just gets blown apart.","number
number","you = plural
see = plural",,
"<seg id=""58"">","Twelve to 24 hours later, it put it back together exactly as it was before.","reference
gender
reference
reference","it = Deinococcus radiodurans
it (Deinococcus radiodurans) = feminine
it = chromosome
it = chromosome",,
"<seg id=""59"">",We have thousands of organisms that can do this.,X,X,,
"<seg id=""60"">",These organisms can be totally desiccated; they can live in a vacuum.,X,X,,
"<seg id=""61"">","I am absolutely certain that life can exist in outer space, move around, find a new aqueous environment.",X,X,,
"<seg id=""62"">","In fact, NASA has shown a lot of this is out there.",X,X,,
"<seg id=""63"">","Here's an actual micrograph of the molecule we built using these processes, actually just using yeast mechanisms with the right design of the pieces we put them in; yeast puts them together automatically.",X,X,,
"<seg id=""64"">",This is not an electron micrograph; this is just a regular photomicrograph.,X,X,,
"<seg id=""65"">",It's such a large molecule we can see it with a light microscope.,X,X,,
"<seg id=""66"">",These are pictures over about a six-second period.,X,X,,
"<seg id=""67"">","So, this is the publication we had just a short while ago.",X,X,,
"<seg id=""68"">","This is over 580,000 letters of genetic code; it's the largest molecule ever made by humans of a defined structure.",X,X,,
"<seg id=""69"">",It's over 300 million molecular weight.,"reference
gender","it= molecule
it = feminine",,
"<seg id=""70"">","If we printed it out at a 10 font with no spacing, it takes 142 pages just to print this genetic code.","reference
gender","it = molecule
it = feminine",,
"<seg id=""71"">","Well, how do we boot up a chromosome?",X,X,,
"<seg id=""72"">",How do we activate this?,X,X,,
"<seg id=""73"">","Obviously, with a virus it's pretty simple; it's much more complicated dealing with bacteria.",X,X,,
"<seg id=""74"">","It's also simpler when you go into eukaryotes like ourselves: you can just pop out the nucleus and pop in another one, and that's what you've all heard about with cloning.",X,X,,
"<seg id=""75"">","With bacteria and Archaea, the chromosome is integrated into the cell, but we recently showed that we can do a complete transplant of a chromosome from one cell to another and activate it.",X,X,,
"<seg id=""76"">","We purified a chromosome from one microbial species -- roughly, these two are as distant as human and mice -- we added a few extra genes so we could select for this chromosome, we digested it with enzymes to kill all the proteins, and it was pretty stunning when we put this in the cell -- and you'll appreciate our very sophisticated graphics here.","number
number","you=plural
will appreciate = plural",,
"<seg id=""77"">",The new chromosome went into the cell.,X,X,,
"<seg id=""78"">","In fact, we thought this might be as far as it went, but we tried to design the process a little bit further.",X,X,,
"<seg id=""79"">",This is a major mechanism of evolution right here.,X,X,,
"<seg id=""80"">","We find all kinds of species that have taken up a second chromosome or a third one from somewhere, adding thousands of new traits in a second to that species.",X,X,,
"<seg id=""81"">","So, people who think of evolution as just one gene changing at a time have missed much of biology.",X,X,,
"<seg id=""82"">",There are enzymes called restriction enzymes that actually digest DNA.,X,X,,
"<seg id=""83"">",The chromosome that was in the cell doesn't have one; the chromosome we put in does.,"reference
gender","one= enzyme
one= feminine",,
"<seg id=""84"">","It got expressed and it recognized the other chromosome as foreign material, chewed it up, and so we ended up just with a cell with the new chromosome.","reference
gender","it = enzyme
it = feminine",,
"<seg id=""85"">",It turned blue because of the genes we put in it.,"reference
gender","it = enzyme
it = feminine",,
"<seg id=""86"">","And with a very short period of time, all the characteristics of one species were lost and it converted totally into the new species based on the new software that we put in the cell.","reference
gender","it = enzyme
it = feminine",,
"<seg id=""87"">","All the proteins changed, the membranes changed; when we read the genetic code, it's exactly what we had transferred in.",X,X,,
"<seg id=""88"">","So, this may sound like genomic alchemy, but we can, by moving the software of DNA around, change things quite dramatically.",X,X,,
